Year,Agency,Agency Name,Facility Center Name,Service Category,Borough,Address,Postcode,cleaning_maintenance_score,operations_score,Overall Score,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,,
2010,BIC,Business Integrity Commission,Licensing Unit,Licensing Unit,MANHATTAN,100 Church St.,10007,100,94,98,40.712968,-74.00949,1,1,21,1001409,1001250020,SoHo-TriBeCa-Civic Center-Little Italy
2010,CCHR,Commission on Human Rights,Human Rights Complaints/NYC Human Rights Community Service Center,Human Rights Complaints/NYC Human Rights Community Service Center,MANHATTAN,40 Rector St.,10006,88,83,86,40.708356,-74.014814,1,1,13,1088750,1000557501,Battery Park City-Lower Manhattan
2010,CCHR,Commission on Human Rights,NYC Human Rights Community Service Center,NYC Human Rights Community Service Center,BRONX,1932 Arthur Ave.,10457,86,94,90,40.845685,-73.893294,6,17,36901,2009911,2029470018,East Tremont
2010,CCHR,Commission on Human Rights,NYC Human Rights Community Service Center,NYC Human Rights Community Service Center,BROOKLYN,25 Chapel St.,11217,83,83,83,40.697254,-73.986015,2,33,13,3335884,3001180006,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2010,CCHR,Commission on Human Rights,NYC Human Rights Community Service Center,NYC Human Rights Community Service Center,QUEENS,153-01 Jamaica Ave.,11432,100,83,92,40.702799,-73.802113,12,24,240,4208826,4097540056,Jamaica
2010,CCHR,Commission on Human Rights,NYC Human Rights Community Service Center,NYC Human Rights Community Service Center,STATEN ISLAND,60 Bay St.,10301,100,89,95,40.640558,-74.07569,1,49,3,5000025,5000050051,West New Brighton-New Brighton-St. George
2010,CCRB,Civilian Complaint Review Board,Civilian Complaints Against Police,Intake Center,MANHATTAN,100 Church St.,10007,75,72,74,40.712968,-74.00949,1,1,21,1001409,1001250020,SoHo-TriBeCa-Civic Center-Little Italy
2010,DCA,Department of Consumer Affairs,Collections Unit,Collections Unit,MANHATTAN,42 Broadway,10004,95,100,97,40.70627,-74.012909,1,1,9,1000812,1000220020,Battery Park City-Lower Manhattan
2010,DCA,Department of Consumer Affairs,Consumer Services,Consumer Services,MANHATTAN,42 Broadway,10004,100,89,94,40.70627,-74.012909,1,1,9,1000812,1000220020,Battery Park City-Lower Manhattan
2010,DCA,Department of Consumer Affairs,Licensing Unit,Licensing Unit,MANHATTAN,42 Broadway,10004,79,91,85,40.70627,-74.012909,1,1,9,1000812,1000220020,Battery Park City-Lower Manhattan
